#IID	SEX	uncorrected	lat	long	PC	Tvec_Lat	Tvec_Long
HGDP00804		78.695025387264	62.6620886351063	-6.4360219623128	1.28230291652618	11.2129032258065	-16.5161290322581
HGDP00805		61.1832217793315	70.077039765518	-3.08066188804276	-4.07007713479195	11.2129032258065	-16.5161290322581
HGDP00806		64.514552491317	71.8403251076416	-9.62632707929332	-0.663121362747992	11.2129032258065	-16.5161290322581
HGDP00807		69.2754066241062	65.1419760687285	-6.53951538167777	7.12740692525745	11.2129032258065	-16.5161290322581
HGDP00808		42.226116184045	29.4698278345572	-4.85513660072016	2.35572794756739	11.2129032258065	-16.5161290322581
HGDP00810		67.9857852364241	65.4800842357667	-9.24069094138667	1.92975016528108	11.2129032258065	-16.5161290322581
HGDP00879		-126.119142267997	-96.8240493074797	5.21814843552406	1.62054565567516	13.2129032258065	26.4838709677419
HGDP00880		-75.8739260933287	-67.3108173125489	1.50330232967622	-0.119033197433243	13.2129032258065	26.4838709677419
HGDP00881		-91.7473017809155	-80.97265351898	5.42634624450821	0.439534315874758	13.2129032258065	26.4838709677419
HGDP00882		-106.132108816172	-91.8874208404405	19.2824332286208	-2.56846617183352	13.2129032258065	26.4838709677419
HGDP00883		-117.661477873749	-103.949784338703	11.8172795838851	-0.68922012457854	13.2129032258065	26.4838709677419
HGDP00884		-87.5461814692852	-81.4951663678293	-1.08563451158323	0.122225572974822	13.2129032258065	26.4838709677419
HGDP00885		-65.5147124915611	-55.9971247277032	7.22237924613106	2.20362840178933	13.2129032258065	26.4838709677419
HGDP00886		-134.09601125841	-106.064954980548	12.6814156329825	2.06659166885424	13.2129032258065	26.4838709677419
HGDP00887		-96.3925517958607	-93.5262769477611	8.05503949941859	6.19441746897214	13.2129032258065	26.4838709677419
HGDP00888		-103.273789714762	-92.9132130580723	-2.87196211135212	-3.39587296812864	13.2129032258065	26.4838709677419
HGDP00889		-123.835673873333	-98.6259092905487	-1.08144030995477	-2.37672407658518	13.2129032258065	26.4838709677419
HGDP00890		-136.943036202095	-116.37376523039	6.51539508499936	-0.218185870785464	13.2129032258065	26.4838709677419
HGDP00891		-140.634313794372	-119.625170771037	13.8725372828296	5.05018952994039	13.2129032258065	26.4838709677419
HGDP00892		-99.8306731229238	-92.1795135888867	6.49115782843513	-1.29486062595904	13.2129032258065	26.4838709677419
HGDP00893		-100.626751033288	-101.039094487395	9.22943223533667	-2.30738759342276	13.2129032258065	26.4838709677419
